yr,tm,lst,sal
2014,Nashville Predators,Weber,14000000
2013,Nashville Predators,Weber,14000000
2012,Nashville Predators,Weber,14000000
2014,Pittsburgh Penguins,Crosby,12000000
2013,Pittsburgh Penguins,Crosby,12000000
2013,Minnesota Wild,Parise,12000000
2013,Minnesota Wild,Suter,12000000
2012,Buffalo Sabres,Myers,12000000
2012,Minnesota Wild,Parise,12000000
2012,New York Rangers,Richards,12000000
2012,Minnesota Wild,Suter,12000000
2011,New York Rangers,Richards,12000000
2014,New York Rangers,Lundqvist,11000000
2014,Minnesota Wild,Parise,11000000
2014,Minnesota Wild,Suter,11000000
2012,New Jersey Devils,Kovalchuk,11000000
2014,Detroit Red Wings,Datsyuk,10000000
2014,Philadelphia Flyers,Giroux,10000000
2014,Toronto Maple Leafs,Kessel,10000000
2014,Washington Capitals,Ovechkin,10000000
2012,Tampa Bay Lightning,Lecavalier,10000000
2011,Philadelphia Flyers,Bryzgalov,10000000
2011,Buffalo Sabres,Ehrhoff,10000000
2011,Tampa Bay Lightning,Lecavalier,10000000
2010,Tampa Bay Lightning,Lecavalier,10000000
2010,Vancouver Canucks,Luongo,10000000
2009,Tampa Bay Lightning,Lecavalier,10000000
2008,Ottawa Senators,Heatley,10000000
2007,Philadelphia Flyers,Briere,10000000
2007,New York Rangers,Gomez,10000000
2007,Buffalo Sabres,Vanek,10000000
2014,Pittsburgh Penguins,Malkin,9500000
2014,Carolina Hurricanes,Staal,9250000
2013,Carolina Hurricanes,Staal,9250000
2014,Anaheim Ducks,Perry,9000000
2013,Washington Capitals,Ovechkin,9000000
2013,New York Rangers,Richards,9000000
2012,Pittsburgh Penguins,Malkin,9000000
2012,Washington Capitals,Ovechkin,9000000
2011,Pittsburgh Penguins,Crosby,9000000
2011,Pittsburgh Penguins,Malkin,9000000
2011,Washington Capitals,Ovechkin,9000000
2010,Pittsburgh Penguins,Crosby,9000000
2010,Pittsburgh Penguins,Malkin,9000000
2010,Washington Capitals,Ovechkin,9000000
2009,Pittsburgh Penguins,Crosby,9000000
2009,Pittsburgh Penguins,Malkin,9000000
2009,Washington Capitals,Ovechkin,9000000
2008,Pittsburgh Penguins,Crosby,9000000
2008,Washington Capitals,Ovechkin,9000000
2014,Anaheim Ducks,Getzlaf,8750000
2012,Carolina Hurricanes,Staal,8500000
2011,Boston Bruins,Chara,8500000
2008,Calgary Flames,Kiprusoff,8500000
2012,Los Angeles Kings,Richards,8400000
2007,New York Rangers,Jagr,8360000
2006,New York Rangers,Jagr,8360000
2005,New York Rangers,Jagr,8360000
2009,New York Rangers,Drury,8050000
2014,Toronto Maple Leafs,Phaneuf,8000000
2014,Tampa Bay Lightning,Stamkos,8000000
2013,Boston Bruins,Chara,8000000
2013,Tampa Bay Lightning,Stamkos,8000000
2012,Buffalo Sabres,Ehrhoff,8000000
2012,Chicago Blackhawks,Keith,8000000
2012,Ottawa Senators,Spezza,8000000
2012,Tampa Bay Lightning,Stamkos,8000000
2011,Minnesota Wild,Heatley,8000000
2011,Chicago Blackhawks,Keith,8000000
2011,Ottawa Senators,Spezza,8000000
2011,Tampa Bay Lightning,Stamkos,8000000
2011,San Jose Sharks,Thornton,8000000
2010,New York Rangers,Drury,8000000
2010,Montreal Canadiens,Gomez,8000000
2010,San Jose Sharks,Heatley,8000000
2010,Chicago Blackhawks,Keith,8000000
2010,Ottawa Senators,Spezza,8000000
2009,Philadelphia Flyers,Briere,8000000
2009,Montreal Canadiens,Gomez,8000000
2009,San Jose Sharks,Heatley,8000000
2009,New York Rangers,Redden,8000000
2009,Ottawa Senators,Spezza,8000000
2008,Philadelphia Flyers,Briere,8000000
2008,New York Rangers,Gomez,8000000
2008,New York Rangers,Redden,8000000
2008,Ottawa Senators,Spezza,8000000
2008,Philadelphia Flyers,Timonen,8000000
2008,Buffalo Sabres,Vanek,8000000
2007,Philadelphia Flyers,Timonen,8000000
2014,Chicago Blackhawks,Hossa,7900000
2014,New York Rangers,Nash,7900000
2013,Chicago Blackhawks,Hossa,7900000
2012,Chicago Blackhawks,Hossa,7900000
2011,Chicago Blackhawks,Hossa,7900000
2010,Chicago Blackhawks,Hossa,7900000
2009,Chicago Blackhawks,Hossa,7900000
2013,New York Rangers,Nash,7800000
2010,Dallas Stars,Richards,7800000
2009,Dallas Stars,Richards,7800000
2008,Dallas Stars,Richards,7800000
2007,Tampa Bay Lightning,Richards,7800000
2007,Dallas Stars,Richards,7800000
2006,Tampa Bay Lightning,Richards,7800000
2012,Detroit Red Wings,Zetterberg,7750000
2011,Carolina Hurricanes,Staal,7750000
2011,Detroit Red Wings,Zetterberg,7750000
2010,New York Rangers,Lundqvist,7750000
2010,Detroit Red Wings,Zetterberg,7750000
2008,New York Rangers,Lundqvist,7750000
2013,Chicago Blackhawks,Keith,7650000
2014,Chicago Blackhawks,Keith,7600000
2013,Los Angeles Kings,Richards,7600000
2012,New York Rangers,Nash,7600000
2011,Philadelphia Flyers,Pronger,7600000
2010,Philadelphia Flyers,Pronger,7600000
2007,Detroit Red Wings,Lidstrom,7600000
2006,Detroit Red Wings,Lidstrom,7600000
2006,Toronto Maple Leafs,Sundin,7600000
2006,New York Islanders,Yashin,7600000
2005,Detroit Red Wings,Lidstrom,7600000
2005,St. Louis Blues,Tkachuk,7600000
2005,New York Islanders,Yashin,7600000
2014,Boston Bruins,Bergeron,7500000
2014,Los Angeles Kings,Kopitar,7500000
2014,Boston Bruins,Rask,7500000
2014,Detroit Red Wings,Zetterberg,7500000
2013,Columbus Blue Jackets,Gaborik,7500000
2013,Los Angeles Kings,Gaborik,7500000
2013,Los Angeles Kings,Kopitar,7500000
2013,Pittsburgh Penguins,Malkin,7500000
2013,Detroit Red Wings,Zetterberg,7500000
2012,Pittsburgh Penguins,Crosby,7500000
2012,New York Rangers,Gaborik,7500000
2012,Columbus Blue Jackets,Gaborik,7500000
2011,New York Rangers,Gaborik,7500000
2011,Montreal Canadiens,Gomez,7500000
2011,Columbus Blue Jackets,Nash,7500000
2011,Nashville Predators,Weber,7500000
2010,Boston Bruins,Chara,7500000
2010,New York Rangers,Gaborik,7500000
2010,Columbus Blue Jackets,Nash,7500000
2010,Carolina Hurricanes,Staal,7500000
2009,Boston Bruins,Chara,7500000
2009,New York Rangers,Gaborik,7500000
2009,Atlanta Thrashers,Kovalchuk,7500000
2009,New Jersey Devils,Kovalchuk,7500000
2009,Vancouver Canucks,Luongo,7500000
2008,Boston Bruins,Chara,7500000
2008,Minnesota Wild,Gaborik,7500000
2008,Atlanta Thrashers,Kovalchuk,7500000
2007,Boston Bruins,Chara,7500000
2007,New Jersey Devils,Elias,7500000
2007,Colorado Avalanche,Smyth,7500000
2006,Boston Bruins,Chara,7500000
2006,New Jersey Devils,Elias,7500000
2009,Detroit Red Wings,Lidstrom,7450000
2008,Detroit Red Wings,Hossa,7450000
2008,Detroit Red Wings,Lidstrom,7450000
2009,Detroit Red Wings,Zetterberg,7400000
2014,Buffalo Sabres,Ennis,7300000
2013,Minnesota Wild,Koivu,7290000
2011,Minnesota Wild,Koivu,7290000
2014,Los Angeles Kings,Brown,7250000
2014,Pittsburgh Penguins,Letang,7250000
2008,Colorado Avalanche,Smyth,7250000
2010,San Jose Sharks,Thornton,7200000
2009,San Jose Sharks,Thornton,7200000
2008,San Jose Sharks,Thornton,7200000
2006,Tampa Bay Lightning,Lecavalier,7167000
2008,Tampa Bay Lightning,Lecavalier,7166667
2007,Tampa Bay Lightning,Lecavalier,7166667
2007,Toronto Maple Leafs,McCabe,7150000
2006,Toronto Maple Leafs,McCabe,7150000
2014,Florida Panthers,Campbell,7142875
2013,Florida Panthers,Campbell,7142875
2012,Florida Panthers,Campbell,7142875
2011,Florida Panthers,Campbell,7142875
2009,Chicago Blackhawks,Campbell,7142875
2010,Chicago Blackhawks,Campbell,7142857
2008,Chicago Blackhawks,Campbell,7142857
2008,New York Rangers,Drury,7100000
2007,New York Rangers,Drury,7100000
2014,New York Rangers,Brassard,7000000
2014,Boston Bruins,Chara,7000000
2014,Los Angeles Kings,Doughty,7000000
2014,New York Rangers,Girardi,7000000
2014,Montreal Canadiens,Markov,7000000
2014,San Jose Sharks,Marleau,7000000
2014,Los Angeles Kings,Quick,7000000
2014,Los Angeles Kings,Richards,7000000
2014,Nashville Predators,Rinne,7000000
2014,Vancouver Canucks,Sedin,7000000
2014,Vancouver Canucks,Sedin,7000000
2014,Carolina Hurricanes,Semin,7000000
2014,Montreal Canadiens,Subban,7000000
2013,Calgary Flames,Cammalleri,7000000
2013,Anaheim Ducks,Perry,7000000
2013,Los Angeles Kings,Quick,7000000
2013,Nashville Predators,Rinne,7000000
2013,Carolina Hurricanes,Semin,7000000
2012,Philadelphia Flyers,Briere,7000000
2012,Calgary Flames,Cammalleri,7000000
2012,Calgary Flames,Iginla,7000000
2012,Pittsburgh Penguins,Iginla,7000000
2012,Nashville Predators,Rinne,7000000
2012,Chicago Blackhawks,Seabrook,7000000
2012,Carolina Hurricanes,Semin,7000000
2012,Columbus Blue Jackets,Wisniewski,7000000
2011,Vancouver Canucks,Bieksa,7000000
2011,Philadelphia Flyers,Briere,7000000
2011,Calgary Flames,Iginla,7000000
2011,Chicago Blackhawks,Seabrook,7000000
2011,Columbus Blue Jackets,Wisniewski,7000000
2010,Ottawa Senators,Alfredsson,7000000
2010,Philadelphia Flyers,Briere,7000000
2010,Toronto Maple Leafs,Giguere,7000000
2010,Calgary Flames,Iginla,7000000
2010,Calgary Flames,Kiprusoff,7000000
2010,Toronto Maple Leafs,Phaneuf,7000000
2010,Boston Bruins,Savard,7000000
2010,Philadelphia Flyers,Timonen,7000000
2009,Ottawa Senators,Alfredsson,7000000
2009,Calgary Flames,Bouwmeester,7000000
2009,Edmonton Oilers,Horcoff,7000000
2009,Calgary Flames,Iginla,7000000
2009,Calgary Flames,Kiprusoff,7000000
2009,Columbus Blue Jackets,Nash,7000000
2009,Philadelphia Flyers,Timonen,7000000
2009,Edmonton Oilers,Visnovsky,7000000
2009,Anaheim Ducks,Visnovsky,7000000
2008,Calgary Flames,Iginla,7000000
2008,Vancouver Canucks,Luongo,7000000
2008,Calgary Flames,Phaneuf,7000000
2008,New York Rangers,Rozsival,7000000
2008,Edmonton Oilers,Visnovsky,7000000
2007,Atlanta Thrashers,Hossa,7000000
2007,Pittsburgh Penguins,Hossa,7000000
2007,Calgary Flames,Iginla,7000000
2007,Phoenix Coyotes,Jovanovski,7000000
2006,Calgary Flames,Iginla,7000000
2006,Phoenix Coyotes,Jovanovski,7000000
2005,Calgary Flames,Iginla,7000000
2013,San Jose Sharks,Marleau,6900000
2012,San Jose Sharks,Marleau,6900000
2011,San Jose Sharks,Marleau,6900000
2010,San Jose Sharks,Marleau,6900000
2012,New York Rangers,Lundqvist,6875000
2011,New York Rangers,Lundqvist,6875000
2009,New York Rangers,Lundqvist,6875000
2005,Toronto Maple Leafs,Sundin,6840000
2014,Los Angeles Kings,Carter,6750000
2014,Montreal Canadiens,Price,6750000
2014,San Jose Sharks,Thornton,6750000
2008,Chicago Blackhawks,Khabibulin,6750000
2008,Anaheim Ducks,Niedermayer,6750000
2007,Chicago Blackhawks,Khabibulin,6750000
2007,Anaheim Ducks,Niedermayer,6750000
2007,Colorado Avalanche,Sakic,6750000
2006,Chicago Blackhawks,Khabibulin,6750000
2006,Anaheim Ducks,Niedermayer,6750000
2005,Chicago Blackhawks,Khabibulin,6750000
2005,Anaheim Mighty Ducks,Niedermayer,6750000
2005,Dallas Stars,Guerin,6738498
2011,Vancouver Canucks,Luongo,6716000
2013,Vancouver Canucks,Luongo,6714000
2013,Florida Panthers,Luongo,6714000
2012,Vancouver Canucks,Luongo,6714000
2014,Carolina Hurricanes,Ward,6700000
2013,Detroit Red Wings,Datsyuk,6700000
2013,Los Angeles Kings,Doughty,6700000
2012,Detroit Red Wings,Datsyuk,6700000
2011,Detroit Red Wings,Datsyuk,6700000
2011,Washington Capitals,Semin,6700000
2010,Detroit Red Wings,Datsyuk,6700000
2009,Detroit Red Wings,Datsyuk,6700000
2008,Detroit Red Wings,Datsyuk,6700000
2007,Detroit Red Wings,Datsyuk,6700000
2007,San Jose Sharks,Thornton,6670000
2011,San Jose Sharks,Boyle,6666667
2010,San Jose Sharks,Boyle,6666667
2009,San Jose Sharks,Boyle,6666667
2008,San Jose Sharks,Boyle,6666667
2013,San Jose Sharks,Boyle,6666666
2012,San Jose Sharks,Boyle,6666666
2005,Colorado Avalanche,Sakic,6664797
2005,Boston Bruins,Thornton,6660000
2005,San Jose Sharks,Thornton,6660000
2013,St. Louis Blues,Bouwmeester,6600000
2013,Colorado Avalanche,Stastny,6600000
2013,Carolina Hurricanes,Ward,6600000
2012,Calgary Flames,Bouwmeester,6600000
2012,St. Louis Blues,Bouwmeester,6600000
2012,Colorado Avalanche,Stastny,6600000
2011,Calgary Flames,Bouwmeester,6600000
2011,Los Angeles Kings,Richards,6600000
2011,Colorado Avalanche,Stastny,6600000
2010,Calgary Flames,Bouwmeester,6600000
2010,Colorado Avalanche,Stastny,6600000
2009,Colorado Avalanche,Stastny,6600000
2014,Washington Capitals,Backstrom,6500000
2014,Chicago Blackhawks,Crawford,6500000
2014,Chicago Blackhawks,Kane,6500000
2014,Ottawa Senators,Karlsson,6500000
2014,Washington Capitals,Orpik,6500000
2014,Chicago Blackhawks,Sharp,6500000
2014,St. Louis Blues,Stastny,6500000
2014,Chicago Blackhawks,Toews,6500000
2013,Los Angeles Kings,Carter,6500000
2013,Vancouver Canucks,Garrison,6500000
2013,Anaheim Ducks,Getzlaf,6500000
2013,Chicago Blackhawks,Kane,6500000
2013,Colorado Avalanche,O'Reilly,6500000
2013,Chicago Blackhawks,Sharp,6500000
2013,Tampa Bay Lightning,St. Louis,6500000
2013,New York Rangers,St. Louis,6500000
2013,Chicago Blackhawks,Toews,6500000
2012,Philadelphia Flyers,Bryzgalov,6500000
2012,Los Angeles Kings,Doughty,6500000
2012,Los Angeles Kings,Kopitar,6500000
2012,Toronto Maple Leafs,Phaneuf,6500000
2011,Edmonton Oilers,Horcoff,6500000
2011,Washington Capitals,Laich,6500000
2011,Toronto Maple Leafs,Phaneuf,6500000
2010,Edmonton Oilers,Horcoff,6500000
2010,Chicago Blackhawks,Kane,6500000
2010,Chicago Blackhawks,Toews,6500000
2009,Anaheim Ducks,Perry,6500000
2009,Calgary Flames,Phaneuf,6500000
2009,Toronto Maple Leafs,Phaneuf,6500000
2009,Los Angeles Kings,Smyth,6500000
2008,Phoenix Coyotes,Jovanovski,6500000
2008,Columbus Blue Jackets,Nash,6500000
2007,Minnesota Wild,Gaborik,6500000
2007,Vancouver Canucks,Luongo,6500000
2007,Ottawa Senators,Redden,6500000
2006,Ottawa Senators,Redden,6500000
2005,Atlanta Thrashers,Kovalchuk,6500000
2005,Tampa Bay Lightning,St. Louis,6500000
2002,Los Angeles Kings,Allison,6500000
2013,Buffalo Sabres,Vanek,6400000
2013,New York Islanders,Vanek,6400000
2013,Montreal Canadiens,Vanek,6400000
2012,Buffalo Sabres,Vanek,6400000
2012,Carolina Hurricanes,Ward,6400000
2011,Los Angeles Kings,Kopitar,6400000
2011,Buffalo Sabres,Vanek,6400000
2010,Philadelphia Flyers,Richards,6400000
2010,Buffalo Sabres,Vanek,6400000
2009,Buffalo Sabres,Vanek,6400000
2005,Colorado Avalanche,Blake,6364111
2011,Carolina Hurricanes,Ward,6300000
2010,Florida Panthers,Vokoun,6300000
2009,San Jose Sharks,Marleau,6300000
2008,San Jose Sharks,Marleau,6300000
2014,Columbus Blue Jackets,Bobrovsky,6250000
2014,Washington Capitals,Green,6250000
2014,Dallas Stars,Lehtonen,6250000
2014,Philadelphia Flyers,Streit,6250000
2014,Colorado Avalanche,Varlamov,6250000
2013,Dallas Stars,Lehtonen,6250000
2013,Buffalo Sabres,Miller,6250000
2013,St. Louis Blues,Miller,6250000
2012,Los Angeles Kings,Carter,6250000
2012,Buffalo Sabres,Miller,6250000
2011,Buffalo Sabres,Miller,6250000
2010,Buffalo Sabres,Miller,6250000
2009,Buffalo Sabres,Miller,6250000
2009,Philadelphia Flyers,Pronger,6250000
2008,Anaheim Ducks,Pronger,6250000
2008,Edmonton Oilers,Souray,6250000
2007,Anaheim Ducks,Pronger,6250000
2007,Edmonton Oilers,Souray,6250000
2006,Anaheim Ducks,Pronger,6250000
2005,Edmonton Oilers,Pronger,6250000
2011,Detroit Red Wings,Lidstrom,6200000
2010,Detroit Red Wings,Lidstrom,6200000
2008,Florida Panthers,McCabe,6150000
2012,Anaheim Ducks,Getzlaf,6125000
2013,Vancouver Canucks,Sedin,6100000
2013,Vancouver Canucks,Sedin,6100000
2012,Vancouver Canucks,Sedin,6100000
2012,Vancouver Canucks,Sedin,6100000
2011,Vancouver Canucks,Sedin,6100000
2011,Vancouver Canucks,Sedin,6100000
2010,Vancouver Canucks,Sedin,6100000
2010,Vancouver Canucks,Sedin,6100000
2009,Vancouver Canucks,Sedin,6100000
2009,Vancouver Canucks,Sedin,6100000
2007,Columbus Blue Jackets,Fedorov,6080000
2007,Washington Capitals,Fedorov,6080000
2006,Columbus Blue Jackets,Fedorov,6080000
2005,Anaheim Mighty Ducks,Fedorov,6080000
2005,Columbus Blue Jackets,Fedorov,6080000
2014,Los Angeles Kings,Gaborik,6075000
2012,Phoenix Coyotes,Doan,6050000
2014,Tampa Bay Lightning,Callahan,6000000
2014,San Jose Sharks,Couture,6000000
2014,Edmonton Oilers,Eberle,6000000
2014,Edmonton Oilers,Hall,6000000
2014,Detroit Red Wings,Howard,6000000
2014,Winnipeg Jets,Kane,6000000
2014,Detroit Red Wings,Kronwall,6000000
2014,Philadelphia Flyers,Lecavalier,6000000
2014,Boston Bruins,Lucic,6000000
2014,Vancouver Canucks,Miller,6000000
2014,Buffalo Sabres,Moulson,6000000
2014,Edmonton Oilers,Nugent-Hopkins,6000000
2014,San Jose Sharks,Pavelski,6000000
2014,Minnesota Wild,Pominville,6000000
2014,Carolina Hurricanes,Skinner,6000000
2014,Arizona Coyotes,Smith,6000000
2014,Carolina Hurricanes,Staal,6000000
2014,New York Islanders,Tavares,6000000
2014,New York Islanders,Visnovsky,6000000
2013,Washington Capitals,Backstrom,6000000
2013,Vancouver Canucks,Burrows,6000000
2013,Edmonton Oilers,Eberle,6000000
2013,Washington Capitals,Green,6000000
2013,Edmonton Oilers,Hall,6000000
2013,Philadelphia Flyers,Hartnell,6000000
2013,Detroit Red Wings,Kronwall,6000000
2013,Philadelphia Flyers,Lecavalier,6000000
2013,Ottawa Senators,Michalek,6000000
2013,Buffalo Sabres,Myers,6000000
2013,Boston Bruins,Rask,6000000
2013,Carolina Hurricanes,Staal,6000000
2013,San Jose Sharks,Thornton,6000000
2013,Philadelphia Flyers,Timonen,6000000
2013,Columbus Blue Jackets,Wisniewski,6000000
2012,Washington Capitals,Backstrom,6000000
2012,Minnesota Wild,Backstrom,6000000
2012,Boston Bruins,Chara,6000000
2012,Toronto Maple Leafs,Grabovski,6000000
2012,Washington Capitals,Green,6000000
2012,Minnesota Wild,Heatley,6000000
2012,Edmonton Oilers,Horcoff,6000000
2012,Chicago Blackhawks,Kane,6000000
2012,Buffalo Sabres,Leino,6000000
2012,Chicago Blackhawks,Sharp,6000000
2012,San Jose Sharks,Thornton,6000000
2012,Chicago Blackhawks,Toews,6000000
2011,Washington Capitals,Backstrom,6000000
2011,Minnesota Wild,Backstrom,6000000
2011,Montreal Canadiens,Cammalleri,6000000
2011,Calgary Flames,Cammalleri,6000000
2011,Columbus Blue Jackets,Carter,6000000
2011,Los Angeles Kings,Carter,6000000
2011,Montreal Canadiens,Cole,6000000
2011,Los Angeles Kings,Doughty,6000000
2011,Nashville Predators,Erat,6000000
2011,Chicago Blackhawks,Kane,6000000
2011,Toronto Maple Leafs,Kessel,6000000
2011,Calgary Flames,Kiprusoff,6000000
2011,New Jersey Devils,Kovalchuk,6000000
2011,Buffalo Sabres,Leino,6000000
2011,New Jersey Devils,Parise,6000000
2011,Chicago Blackhawks,Toews,6000000
2010,Washington Capitals,Backstrom,6000000
2010,Minnesota Wild,Backstrom,6000000
2010,Phoenix Coyotes,Jovanovski,6000000
2010,Toronto Maple Leafs,Kessel,6000000
2010,Los Angeles Kings,Kopitar,6000000
2010,New Jersey Devils,Kovalchuk,6000000
2010,Tampa Bay Lightning,Malone,6000000
2010,Detroit Red Wings,Rafalski,6000000
2010,Washington Capitals,Semin,6000000
2010,Boston Bruins,Thomas,6000000
2010,Anaheim Ducks,Visnovsky,6000000
2009,Minnesota Wild,Backstrom,6000000
2009,New Jersey Devils,Elias,6000000
2009,Anaheim Ducks,Giguere,6000000
2009,Toronto Maple Leafs,Giguere,6000000
2009,Phoenix Coyotes,Jovanovski,6000000
2009,St. Louis Blues,Kariya,6000000
2009,Los Angeles Kings,Kopitar,6000000
2009,Tampa Bay Lightning,Malone,6000000
2009,San Jose Sharks,Nabokov,6000000
2009,Anaheim Ducks,Niedermayer,6000000
2009,Detroit Red Wings,Rafalski,6000000
2009,New York Rangers,Rozsival,6000000
2009,Carolina Hurricanes,Staal,6000000
2009,Boston Bruins,Thomas,6000000
2008,New Jersey Devils,Elias,6000000
2008,Ottawa Senators,Fisher,6000000
2008,Pittsburgh Penguins,Gonchar,6000000
2008,Chicago Blackhawks,Havlat,6000000
2008,St. Louis Blues,Kariya,6000000
2008,Tampa Bay Lightning,Malone,6000000
2008,Detroit Red Wings,Rafalski,6000000
2008,Colorado Avalanche,Sakic,6000000
2007,Los Angeles Kings,Blake,6000000
2007,Chicago Blackhawks,Havlat,6000000
2007,St. Louis Blues,Kariya,6000000
2007,Vancouver Canucks,Naslund,6000000
2007,Detroit Red Wings,Rafalski,6000000
2007,Tampa Bay Lightning,St. Louis,6000000
2007,Colorado Avalanche,Theodore,6000000
2006,Los Angeles Kings,Blake,6000000
2006,Chicago Blackhawks,Havlat,6000000
2006,Atlanta Thrashers,Hossa,6000000
2006,Vancouver Canucks,Luongo,6000000
2006,Vancouver Canucks,Naslund,6000000
2006,Tampa Bay Lightning,St. Louis,6000000
2006,Dallas Stars,Turco,6000000
2005,Tampa Bay Lightning,Lecavalier,6000000
2005,Vancouver Canucks,Naslund,6000000
2011,Boston Bruins,Bergeron,5900000
2003,Philadelphia Flyers,Amonte,5896914
2002,Phoenix Coyotes,Amonte,5814340
2002,Philadelphia Flyers,Amonte,5814340
2014,Colorado Avalanche,O'Reilly,5800000
2014,Winnipeg Jets,Wheeler,5800000
2014,San Jose Sharks,Burns,5760000
2013,San Jose Sharks,Burns,5760000
2012,San Jose Sharks,Burns,5760000
2014,Winnipeg Jets,Byfuglien,5750000
2014,Tampa Bay Lightning,Carle,5750000
2014,Winnipeg Jets,Enstrom,5750000
2014,Pittsburgh Penguins,Fleury,5750000
2014,Washington Capitals,Niskanen,5750000
2013,Winnipeg Jets,Byfuglien,5750000
2013,Tampa Bay Lightning,Carle,5750000
2013,Winnipeg Jets,Enstrom,5750000
2013,Pittsburgh Penguins,Fleury,5750000
2013,Montreal Canadiens,Markov,5750000
2013,Montreal Canadiens,Price,5750000
2012,Montreal Canadiens,Markov,5750000
2011,Anaheim Ducks,Getzlaf,5750000
2011,Montreal Canadiens,Markov,5750000
2010,Boston Bruins,Bergeron,5750000
2010,Montreal Canadiens,Markov,5750000
2009,Montreal Canadiens,Markov,5750000
2008,Montreal Canadiens,Markov,5750000
2008,Atlanta Thrashers,Schneider,5750000
2008,Montreal Canadiens,Schneider,5750000
2007,Montreal Canadiens,Markov,5750000
2006,Philadelphia Flyers,Forsberg,5750000
2006,Nashville Predators,Forsberg,5750000
2006,Colorado Avalanche,Sakic,5750000
2005,Philadelphia Flyers,Forsberg,5750000
2014,Florida Panthers,Luongo,5706900
2009,Florida Panthers,Vokoun,5700000
2008,Dallas Stars,Turco,5700000
2007,Dallas Stars,Turco,5700000
2005,St. Louis Blues,Weight,5700000
2005,Carolina Hurricanes,Weight,5700000
2008,Vancouver Canucks,Sundin,5626500
2009,Chicago Blackhawks,Huet,5625000
2008,Chicago Blackhawks,Huet,5625000
2009,Philadelphia Flyers,Richards,5600000
2014,Ottawa Senators,Ryan,5562500
2013,Ottawa Senators,Ryan,5562500
2012,Anaheim Ducks,Ryan,5562500
2011,Anaheim Ducks,Ryan,5562500
2013,Phoenix Coyotes,Doan,5550000
2013,Boston Bruins,Lucic,5550000
2014,Florida Panthers,Bolland,5500000
2014,Colorado Avalanche,Duchene,5500000
2014,New Jersey Devils,Elias,5500000
2014,Colorado Avalanche,Iginla,5500000
2014,St. Louis Blues,Pietrangelo,5500000
2014,Dallas Stars,Seguin,5500000
2014,Minnesota Wild,Vanek,5500000
2014,Arizona Coyotes,Yandle,5500000
2014,New York Rangers,Yandle,5500000
2013,Philadelphia Flyers,Coburn,5500000
2013,New Jersey Devils,Elias,5500000
2013,Edmonton Oilers,Hemsky,5500000
2013,Ottawa Senators,Hemsky,5500000
2013,Detroit Red Wings,Howard,5500000
2013,Ottawa Senators,Karlsson,5500000
2013,Philadelphia Flyers,Meszaros,5500000
2013,Boston Bruins,Meszaros,5500000
2013,Toronto Maple Leafs,Phaneuf,5500000
2013,Minnesota Wild,Pominville,5500000
2012,Nashville Predators,Erat,5500000
2012,Washington Capitals,Erat,5500000
2012,Pittsburgh Penguins,Fleury,5500000
2012,Vancouver Canucks,Garrison,5500000
2012,Ottawa Senators,Gonchar,5500000
2012,Boston Bruins,Horton,5500000
2012,Buffalo Sabres,Pominville,5500000
2012,Minnesota Wild,Pominville,5500000
2012,Montreal Canadiens,Price,5500000
2012,Dallas Stars,Roy,5500000
2012,Vancouver Canucks,Roy,5500000
2012,Tampa Bay Lightning,St. Louis,5500000
2012,Edmonton Oilers,Whitney,5500000
2011,Toronto Maple Leafs,Connolly,5500000
2011,Pittsburgh Penguins,Fleury,5500000
2011,Ottawa Senators,Gonchar,5500000
2011,Toronto Maple Leafs,Komisarek,5500000
2011,Tampa Bay Lightning,Malone,5500000
2011,Pittsburgh Penguins,Martin,5500000
2011,Buffalo Sabres,Pominville,5500000
2011,Tampa Bay Lightning,St. Louis,5500000
2010,Philadelphia Flyers,Carter,5500000
2010,Pittsburgh Penguins,Fleury,5500000
2010,Edmonton Oilers,Gilbert,5500000
2010,Ottawa Senators,Gonchar,5500000
2010,Montreal Canadiens,Hamrlik,5500000
2010,Toronto Maple Leafs,Komisarek,5500000
2010,Pittsburgh Penguins,Martin,5500000
2010,Buffalo Sabres,Pominville,5500000
2010,Los Angeles Kings,Smyth,5500000
2009,Detroit Red Wings,Franzen,5500000
2009,Pittsburgh Penguins,Gonchar,5500000
2009,Montreal Canadiens,Hamrlik,5500000
2009,Calgary Flames,Jokinen,5500000
2009,New York Rangers,Jokinen,5500000
2009,Edmonton Oilers,Souray,5500000
2008,Anaheim Ducks,Giguere,5500000
2008,Montreal Canadiens,Hamrlik,5500000
2008,Nashville Predators,Legwand,5500000
2008,San Jose Sharks,Nabokov,5500000
2008,Washington Capitals,Nylander,5500000
2008,Florida Panthers,Vokoun,5500000
2007,Anaheim Ducks,Giguere,5500000
2007,Pittsburgh Penguins,Gonchar,5500000
2007,Montreal Canadiens,Hamrlik,5500000
2007,Ottawa Senators,Heatley,5500000
2007,Atlanta Thrashers,Kovalchuk,5500000
2007,Columbus Blue Jackets,Nash,5500000
2007,Washington Capitals,Nylander,5500000
2007,Anaheim Ducks,Schneider,5500000
2007,Toronto Maple Leafs,Sundin,5500000
2006,Colorado Avalanche,Theodore,5500000
2001,Los Angeles Kings,Allison,5500000
2008,Ottawa Senators,Alfredsson,5465397
2014,New York Rangers,Staal,5450000
2007,Washington Capitals,Kolzig,5450000
2006,Washington Capitals,Kolzig,5450000
2014,Minnesota Wild,Koivu,5400000
2013,Toronto Maple Leafs,Kessel,5400000
